username,tweet
andevuss,mens gue ga aturan vaksin lagian jauhan anjir
felixtigrism,pakai pin kulo sampun vaksin
felixtigrism,vaksin kedua kok berasa lebih sakit sama berasa banget efeknya
wahyuningtri40,lah mau vaksin kudu pcr dulu
suwito_abdullah,monggo butuh vaksin
suwito_abdullah,leren o mbah desember wis nganggo penonton syarat vaksin x
golddi99er,vaksin
suwito_abdullah,hari pas longgar ikut memriahkan vaksin kantor kalurahan mandan kec kab sukoharjo
andinurul_nunu,vaksin kedua lebih ketata good la
anggiadee_,weh la kae rung vaksin to kak
ariefbudiawan7,efek vaksin dosis tidur
burooooos,mentang wis vaksin komplit
_robertoady,kalau parosmia apa ikut vaksinasi banyak penyintas gejala tersebut ikut vaksin
Bumi_Intanpari,vaksin dosis siswa man surakarta tersebar beberapa rs dikota surakarta man surakarta
ericwh93,ma sertifikat vaksin
Bumi_Intanpari,alhamdulillah dosis vaksin selesai sehat selalu semua semoga ikhtiar segera lepas pandemi covid aamiin
GentengI,udah vaksin mbah
burooooos,nganter vaksin pajaknya nonton xxi solo paragon seharian jadi sopir pp purwodadi solo kalian ngijoli waktunya ibu selalu pulang malem
nikenjaa,asyik dah vaksin dah masuk area bioksop angelina jolie kan eh
elisabetfps,jadi gini rasanya deg an daftar vaksin
wahyuningtri40,koncoku iso nde mlebu mall ra vaksin bermodal celana suwek ngaku ra ndwe hp inisiale ulinnuha
arifbudisatria,udah sih baru x bioskop buka masa ppkm nonton shang chi gpp baru x vaksin masuk area bioskop
man1_solo,terharu bgt liat ibu bapa lanjut usia bahkan yg berpenampilan sangar bertato semangat vaksin detik detik dosis terakhir
irfan_nuruddin,kalo aku tadi mbak aku baru vaksin x
Vitrianaap,ditanyain sakit gak pas suntik kedua vaksin aku jawab enggak lebih sakit suntik alergi sus
irfan_nuruddin,cerita lucu pas vaksin lah dikira aku jomblo diajak kenalan anak kelahiran wkwk pas tau aku dah punya anak lah kaget gak tuh
Anithaya_yusuf,pokoke top markotop vaksin vaksin berharap sertifikat digadaikan
felixtigrism,maaf jbjb udah vaksin sama steril
axchp_,gak sih habis vaksin moderna sakit punggung
haryopandu,mau disumbang vaksin dri china
felixtigrism,vaksin wow
rfxxiiy_,efek njarem abis vaksin emang selama dah hari ngga ilang ilang malah makin menjadi
felixtigrism,hbs ashar ntar jam acara keluarga hotel bokap yg bwp solo baru setelahnya malem hrs otw pulang sana lg krn bsk siang mau vaksin booster sekeluarga bsr rmh pamulang amp rmh solo baru yaa smg baik aja nih fisik gak kecapekan dg segala agenda yg sangat padat
mimiholiccc,gak sih vaksin sinovac kali next time nambah vaksin ketiga moderna aztra
mitaprat,meninjau vaksinasi tirtonadi kerjasama sasarannya pekerja khususnya bpjamsostek mitra grab penyandang disabilitas antusias warga luar vaksin terima kasih jaga kesehatan selalu
Anto1157,antri screening vaksin petugasnya cantik bgt pakai hoodie warna apa biru muda ungu ngga tau ngaraninya warna apa
ikaauwais2,meninjau vaksinasi its pku muhammadiyah mengajak masyarakat solo vaksin ayo segera vaksin perlu takut vaksin aman halal jumlah stock vaksin terus tersedia lihat video gibran rakabuming
sriwns,daerah bnyak yg blm vaksin ndoro wilayah grogol sukoharjo jateng salam sehat ngih pak senajan mu kalah ttp abang
skysilent3,mau vaksin ditolak rasanya kyk ditinggal pas sayang nya
sriwns,sesusah nyari vaksin non domisili disini sekalinya baru buka pendaftaran ngga sampe menit dah ludes aja
wahyuningtri40,laah mending gak usah dijatah vaksin aja alihin daerah msh bnyak yg menanti jatah dpt vaksin koq aku yg musti sabar blm kejatah kuota vaksin
sptwnangga,naiknya darimana kalo naik krl cuma vaksin kalo jarak jauh pake swab pcr antigen
chairulari_24,susah bgt sii nyari vaksin non domisili jauh ktb solo rugi sekalii kl ga join kuliah offlenn
mimiholiccc,punya sertifikat vaksin kepake buat naik
gibran_tweet,akhire gunanya ikut vaksin buat kesehatan
felixtigrism,masalahnya naek krl aja kudu pake vaksin sekarang wkwkw
gibran_tweet,maturnuwuun pak presiden hari anak ragil diberikan kesempatan vaksin bersama teman nya alhamdulilah
sardi52346100,hari tadi anak ragil vaksin bersama teman sekolahnya wa group teman kuliah surabaya share vaksin massal program vaksinasi pak emang top markotop kerja kerja kerja
rarabocila,nyari vaksin susah ngga pake ktp solo raya
sptwnangga,kak besok pagi ditempat yg sama vaksin kedua td udh kedkt liat infonya
IgnatioDee,aing aja vaksin gegara nunggu moderna pfizer malah udh komersialisasi kan aja
angin_ej,bangga punya duit bangga udah vaksin
ipehadid,jumat besok anak ragil giliran vaksin dikoordinir sekolahnya pak gub alhamdulilah
adil_hp21,kartu vaksin iku wis nyalahi kodrat demokrasi
adil_hp21,habis vaksin mam escrem gag
sptwnangga,outfitku vaksin kemaren aku pake kaos putih pendek
ariefbudiawan7,pak wali ktp warga kra tapii sdh lbh th tgl solo kost kerja solo interaksi solo makan tidur hidup solo bs terima vaksin koq dipersulit tak gmn pak hari coba yg rumdin wawali jg ditolak ktp
ariefbudiawan7,tetep dodol bar vaksin sebuah kesalahan
sptwnangga,nek mlebu y nganggo kartu vaksin po ra min
umm_faizah,semangat pagi min penerbangan solo jakarta syaratnya apa min calon penumpang vaksin sedikit masalah kesehatan dibuktikan surat keterangan dokter mohon infonya min terimakasih
tjok_aps,pagi min penerbangan solo jakarta syaratnya apa min kalau misal blm vaksin sedikit masalah kesehatan bagaimana surat keterangan dokter mohon infonya min terimakasih
iam_nurrr,fungsi tambahan sertifikat vaksin
ariefbudiawan7,orang disekitar gue lg sibuk cari vaksin pfizer moderna gue sendiri yg cari tau info vaksin nusantara masa indonesia ekspor vaksin nusantara berjuta juta turki orang indonesia sibuk import vaksin yg jelas mengandung stell minyak babi aneh ra si jane indonesia mu
MasPaiiii,min mhn maaf kapan vaksin yg kedua jenis astra yg diadakan digedung warastratama terakhir vaksin tgl juni smpe skg kabar yg menyelanggarakan rs dkt makasih min
pongkyprmeswari,duh tambah lawak adek geger gamau vaksin malah request vaksin puyer apa sirup plis vaksin bukan paracetamol
wahyuningtri40,gas ngreyen kartu vaksin
IgnatioDee,meninjau vaksinasi pelajar politeknik turut memastikan kondisi warga sehat divaksin keluhan target akhir bulan warga solo vaksin lihat video gibran rakabuming
ptrrvk,vaksin dr bulan juli gaes
tentangK3,jam ngantri vaksin tensi naik bukan apa kesel aja lama banget yalord
nanank_kiut,aku wis vaksin ayo piknik adoh
nanank_kiut,korban vaksin siapa yg bertanggung jawab
ardisetiawan_w,pasar gayeng alhamdulillah dah vaksin semua warga pasar notoharjo pak ekonomi mulai jalan cuaca cerah warga mranak murah tur apek bakulane
akukudusugih,iki mergo evek vaksin opo aku sing lemah yo rosone ora dang ilang kemeng bats
umm_faizah,meninjau pelaksanaan vaksinasi santri rs kustati pak memerintahkan stok vaksin tersedia segera digunakan siap gerak cepat distribusikan vaksin warga lihat video gibran rakabuming
brlys_,boro boro dapet vaksin orang kemarin vaksin x aja kaga yg anter gada yg antri krn dateng telat bener seorang diri menghayati banget ra sih jomblone
BenarTidakSalah,vaksin x protokol kesehatan jalan terus lalu apa jaga diri keluargamu risiko penyakit lainnya penyakit kritis fwd critical armor proteksi risiko finansial penyakit kritis
gibran_tweet,min kalo vaksin menyusui minta surat keterangan dokternya kepuskesmas apa
EvitNona,istri direkomendasikan ama dokter jenis vaksin p yg aman penderita eb autoimun waktu tanya orang puskesmas kapan p masuk kota malah dijawab gak usah pilih pilih vaksin mas semua sama kalo sama ngapain tanya dokter kasus autoimun
burooooos,alhamdulillah udah vaksin
Riezkyyp__,kalo vaksin bandara cuman dapet dosis setahuku ketersediaannya ga banyak tp coba aja sih barangkali kondisi balikpapan beda sm jawa
suwito_abdullah,nyandi kudu vaksin
MasBondan17,vaksin pertama
binarbonai,enggak sakit sih pas suntik yg bikin susah kipi nya aku malem abis vaksin demam pusing sama lengan yg disuntik sakit banget sampe gak tidur sekarang alhamdulillah mendingan pusing dikit
gibran_tweet,pulang kerja tidur cepet besok gas colomadu buat vaksin besok pagi bangunin
brlys_,lha gubernurmu lak meh gawe gelang bukti vaksin to nder wkwkwk
adiyeeeee,abis vaksin jon wkwkw
adiyeeeee,done ncovid ncovid tahap puskesmas manahan
umm_faizah,min kok vaksin imunisasi bayi dpt disemua puskesmas bidan desa kok kosong
myname_ap,vaksin jgn lupa
oxytyra_mine,aku kelingan ndue mbak sepupu dokter ditakoni wes vaksin rung tak jawab wis nggo sinofakk le nyauri malah vaksin kok nggo sinofak biarang penting iso numpak pesawat mbak jawabku ngono
nikmahazii,siap vaksin lindungi diri lindungi negeri
firnadi_,info vaksin wangon banyumas purwokerto ajibarang raya
Narendrojati1,thanks ppkm sekarang orang berlomba pengen vaksin biar masuk mall
wahyuningtri40,dialog dr terawan dg komisi vii vaksin nusantara yg dipersulit uji klinis
adiyeeeee,sungguh aneh klo negara mmpersulit vaksin karya anak bangsa sendiri
febri4574,meninjau vaksinasi kelompok rentan puskesmas ngoresan dosis diberikan masyarakat riwayat berbagai penyakit komorbid jangan takut vaksin aman halal check out gibran rakabuming s video
oxytyra_mine,seseneng dapet surat layak vaksin naik kereta yeay
Nandagstn,ibu hamil dipersulit buat vaksin sih aja halangannya
TirtaBrendy,pulang kerja sempet tidur dah surih nganterin vaksin
ramlans,jurgen klopp udah vaksin kedua
najib_imam,artinya bisnis vaksin impor jalan terus
akukudusugih,mohon maaf min bertanya seputar pcr repid antigen vaksin dosis pcr repid antigen disetertakan kedua duanya memilih pcr rapid antigen min terimakasih min
AlanWiryawan,min mohon maaf mau bertanya vaksin dosis daerah jawa apa menyertakan pcr min minta pencerahannya min terima kasih sesudahnya
andry_praz,vaksin nusantara yg hebat karya anak bangsa tdk direspon dg baik penghianat bangsa yg sesungguhnya antek komunis
iwanwahyuutomo,gelem vaksin gawene wedag wkwkw
suwito_abdullah,lol biyaya lockdown justru nya biaya ppkm tong lu kira ppkm gak makan biaya psbb gak makan biaya justru kalo alesan biaya napa majority vaksin indonesia pake sinovac az cuma harganya belom lisensi nyatanya pake sinovac paling banyak alesan aja
suwito_abdullah,eo sangat dibutuhkan alur penyuntikan vaksin deh pak
gibran_tweet,yey vaksin
baringanena,memang mantap sekali habis vaksin langsung lembur
adiyeeeee,kalo hamil gimana dong min masa vaksin
adiyeeeee,mhn maaf min minta info vaksin buat ibu menyusui nyari yg menyelenggarakan
FaizaRosyida,efek vaksin herpes
febri4574,baru bulan lebih minggu sembuh dr gejala covid mas kmaren vaksin moderna ga gejala yg mengganggu aktifitas
iyoes_23,film pendek vaksin palsu tayang youtube burhan family bisnis
suwito_abdullah,parkiran pasar klewer wes membludak ekonomi mulai jalan ppkm monggo pak longgar ka masyarakat taat maskeran vaksin ditingkatkan
ReiOgami5,nganter momi vaksin cok jane aku yo mls
ReiOgami5,efek vaksin
suwito_abdullah,klo pelayanan vaksin nusantara dmn dok
Langitra13,ujung nya berlindung dibalik taat prokes udah vaksin gapaham lg yg modelan kaya gitu
jeje_jildhuz,info vaksin gratis wilayah sragen
fajarpeewee,vaksin mulai pusing
Jameddun,ngga tau pernah vaksin
blankppl_,melangkah vaksin
isnadseptiana,emang ampuh bener vaksin moderna bikin orang ngk kuat ngapa in sangking bikin ngilunya
umm_faizah,lucu papaku super takut sm yg berbau dokter pas mau divaksin kayak udah stress duluan ditensi sampe dokter tenang pak gapapa bapak takut sok coolnya muncul blg engga h tp tangan keringet dingin hahahaha tp akhirnya vaksin krn uda normal wkwk
sriwns,nyokap tp yg gmpg kepikiran jd ngaruh banget semingguan kayak trying to make her hepi apalah gitu ngapain w bantu cek tensi jg tiap hari sampe akhirnya udah normal puji tuhan baru deh tenang mau vaksin puji tuhan sehat lancar
Ibnu_stiawan,case sm ky mamiku kmrn sampe endingnya w beli tensimeter nyokap cekup internis minta saran blh vaksin ga krn emg ad komorbid kata dokternya tp kondisi mm tensi super tinggi sampe gilak emg
LampuKerajinan,pelajaran nih sblm vaksin siapin kondisi bener jgn maksa klo riwayat hipertensi obatnya diminum yg rutin maintain terus tensinya better punya alat tensi dirumah jangan stress kurangi triggernya
MasBondan17,tinggal berangkat vaksin aja susah
pengabdiot,vaksin kiri pegel kanan
sriwns,oke efek vaksin kedua lebih njarem lengan sama hawanya lapar lucu nyawang adik adik maba fk belajar bicara ruang observasi malu malu
suwito_abdullah,vaksin done
bonanachacha,fungsi sertifikat vaksin yg dicetak apa si
AlvianMstfh,silakan vaksin bareng
sriwns,doblang kon vaksin kae run moso wedi jarum sontek
felixtigrism,gelora bung karno manahan
edi_pit,abis vaksin rasanya gimana gak gimana sumpah kcli dapet dokter nyuntik nya kayak nyuntik kebo
ratnamonica_,per agustus melakukan vaksin ibu hamil melalui puskesmas sesuai domisili bumil dosis dilakukan trimester kehamilan dosis disesuaikan interval vaksin digunakan simak video lengkapnya
burooooos,allhamdulilah lancar vaksin
burooooos,rasah vaksin
burooooos,bikin link pendaftaran vaksin niat ga sih heran deh gw
burooooos,yoes nunggu vaksin seng semprot ngko nek wes enek tak japri
sriwns,wingi wingi dtawani vaksin garek teko wegah kas saiki bingung golek vaksin
LampuKerajinan,protokol kesehatan pas piala menpora jalan pemain pelatih staf semua vaksin main swab semua orang area venue pakai masker penonton bus menggunakan bus bangku bus isi pemain
aloy_jenner,lho yg jd masalah lagian kan skrg dudah e ktp gitu lho semua kan warga negara gak mungkin jg mo vaksin berulang ulang klo jatah blt yg tipu kadang keqi jg dg model kebijakan begini kan mengejar kekebalan imunitas katanya
aafifm_,blm dpt giliran tiap kali reservasi penuh terus kuota pingin segera vaksin nih
indra_agusta,smua vaksin waktunya yg enggak
joshnoeg,kiamat dekat jerinx sid bersedia disuntik vaksin corona
_Sukrin,pertama bagaimana punya dosis vaksin notabenenya vaksin kelola negara kedua gratis masyarakat kurang mampu bukannya gratis semua ketiga siapaaa
gibran_tweet,selama punya identitas kia ktp warga solo silakan vaksin solo
haris_ajii,program begini knp mesti cuma dki sih pemimpin daerah koq gak dibantu yg butuh vaksin bukan rakyat dki
sweetkalyca,vaksin nyuntik e koyo ngaduk glepung diublek ublek jarume sek ng njero kulit suog
ledianakartika,pake undangan vaksinn soale aku mau vaksin
gibran_tweet,tdi aku vaksin cuma nunjukin undangan doangg
yowesbenlahh,aku vaksin doangg
akukudusugih,ayo dong yg udah vaksin naik krl
burooooos,senin vaksin knp deg annya udh mulai dr skrg
gabrielchrisnap,kayak vaksin dr ums kapan lalu post ig buat semua ktp pas hbs isi gform tyt cuma ktp surakarta malah diarahkan masuk grup tele panitia anak bem infonya ga jelas berubah dataku gimana hmm
nikenjaa,vaksin covid dilakukan masif kebawah minimal kelurahan digerakkan tiap gitu ben ndang rampung
gibran_tweet,hari ne aq vaksin hadew biyoh suntik
Langitra13,ngurus pindah vaksin dosis kedua aja udah kek simulasi pindah ktp bgst lempar sana sini asw
IgnatioDee,aku sinovac ga ngerasa efek apa vaksin kalo bapakku bbrp kluqrga tmenku dapetnya astrazeneca malem abis vaksin langsung demam tinggi seharian
IgnatioDee,jujur pak tertarik mall kalau syarat apa vaksin mbok persediaan wilayah lihat apa ngk
oxytyra_mine,hbs vaksin ngopi gak to
blontankpoer,mas ojol angkringan a koe ga vaksin po b wegah medeni og malah do loro a heleh mung mitos kui nek mitose bar vaksin ngaceng mesti koe sik dewe jingan og
AldhiTR,sori salah yg tadi vaksinasi bukan vaksin
gibran_tweet,mangkat vaksin malah tertolak kleru tanggal
IgnatioDee,non domisili daftar kuota penuh terus sedang perjalanan membutuhkan sertifikat vaksin
fauzancukk,memanfaatkan mall ditutup selama ppkm menjadi lokasi vaksinasi warga solo diharapkan memberi kenyamanan penerima vaksin percepatan vaksinasi
MagneticMoon_,ngantri vaksin koyo ngantri tekaning jodoh
MagneticMoon_,efek pertama vaksin astra ndek kae meriang hari wkwk trus vaksin kedua belom nunggu sampe tgl agust
MagneticMoon_,alhamdullilah banget habis sidang langsung vaksin jadi bener bener hibernasi
angin_ej,siapa yg bilang gak mau noh kota awal buka vaksin antrian bludak mayoritas yg cari info vaksin malah pekerja luar kota yg merantau soalnya ktp luar
44Natasha,vaksin efek ketiga efeknya ko gini
burooooos,hahaha ceroboh bgt bisabisanya salah tgl vaksin terlewat untungnya ttp heuheu
nkhawari,dapet vaksin az istri demam kakak sama adik ipar demam akunya enggak apa disuntik air gula
Sisoneto_,menggenjot sasaran vaksinasi kelompok pemkot solo mengadakan layanan mobil vaksin keliling beroperasi sejak juni lokasi berbeda lebih warga pralansia lansia mengikuti program
Alucya5,info vaksin colomadu karanganyar dongg
anakpinggirann_,bener ga katanya vaksin suntikanya lebih sakit
oxytyra_mine,vaksin kedua melakukan donor darah selang berapa minggu
nisa1_rama,sabar njir mau vaksin kedua dlu baru mau mikirin jkt
AD71E_,lemes beb senin aku vaksin
_AhmadNajihal,vaksin khusus nakes
oxytyra_mine,mohon info utk layanan vaksin stasiun solo balapan donk terima kasih sebelumnya
muis_nur2,dapet kuota vaksin dosis pertama pengen
mei_mei_01,barcode kartu vaksin isinya apa
gibran_tweet,selesai uas leha leha selesai uas vaksin
buruh_jamu,pawang vaksin kudu semangat ra sambat
jadijadiannpon,semangat vaksin mbak
_wassup_ya,rasa malu amp kepentingan kelompok idi amp bppom dr terawan sang penemu vaksin nusantara
myname_ap,g paham aku emg grup vaksin
Gans_Flanker,vaksin pertama apa
yagitunah,segera vaksin ojo ditunda tunda
firdauszulfikar,owalah iki sing vaksin awakmu tho kirain pitikmu
gibran_tweet,sobat soloraya butuh info vaksin follow instagram yak
SKiss23,udah vaksin dapet diskon kokumi ena bgt
rosaprtw,yaampun ngeri betul mana bang jago menantu idaman sok galak anjir ibu samping gue sampe shock aduh mbak kok pake teriak teriak vaksin deg degan takutt
feroarneu,terus aku cerita mama plus nanyain ga sih koordinasi pusksesmas bang jago menantu idaman kui trs mama jawab gaenek koordinasi blas wkwk konsep e vaksin hadapi lakoni ckckck
taurusguy19,tadi aku vaksin nganterin sahabat e mita sm adekku vaksin massal yg judulnya sih idaman e cah cah plus bang jago kerjasama puskesma tempat mama kerja sampe sana jujur kaget
MonicaNaress,blm vaksin gak naik ka pesawat gmn dong
Ihsan_N25,vaksin kedua beres alhamdulillah semoga pandemi segera pergi
babhesolo,vaksin vaksin vaksin yok enggal vaksin enggal mantai estu kepengin holiday lurr
babhesolo,koyo aku golek vaksin ngungkuli golek gawean kudu orang
_Sukrin,ning kantor ning kopinan ning tempat vaksin ning gym playlist lyodra pesan terakhir ngasi apall
GGabrielID,tepat pilihannya vaksin lebih terjadwal disiapkan terutama memiliki comorbid lakukan terlambat persiapkan stage kalahkan stage
storyofkaia_,btw orang kantor ane yg dulu anti vaksin akhirnya kmrn ikutan vaksin
firnadi_,banyak pt yg nyuruh bahkan mengultimatum karyawannya vaksin nyari sendiri miris pak
IgnatioDee,makanya mama males bgt ngedukasi orang yg gamau vaksin katanya ngapain orang vaksinnya tuh ga sebanyak yg digembar gemborkee wkwk org yg bebal gamau vaksin biarin aja yg pengen vaksin aja banyak kok
beruangbuluk_,udah vaksin belom sakit lho badanmu ditusuk jarum chat berakhir wkwkwk
apaandahbrisik,baru tgl besok vaksin pertamanya soalnya dr kmarin kyk flash sale booking kuota vaksinnya
nanda_bril,dosis vaksin pertama sama kedua beda ngga sih
irfan_nuruddin,kata sape sini mau vaksin rebutan dulu
oxytyra_mine,vaksin dosis done
gopalopotamus,samsoyo ora dong jare stok vaksin jt lha saiki mana kehabisan vaksin
nhgdsr,nek g kyo sistem pemilu kae lho kan rt moro ng satu tempat jadi vaksin e luweh cpt pengen ku ngono
nhgdsr,tanggal bapak vaksin kedua mama vaksin kedua aku sama cella vaksin kedua yuk bismillah keluarga pak slamet sehat sehat terus
nhgdsr,kalo vaksin g dijatah rt jadi petugasnya yg muter keliling rt buat suntik gitu kan otomatis udah langsung vaksin semua jadi lbh cpt gitu
uwupobia,kok malah nyalahin vaksin
blontankpoer,aku mau dikon milih sedurunge vaksin mas ironman spiderman karo leck man trus aku pilih de e sing nompo aku onone
txtfromsoc,ameh sok sok an idealis anti vaksin nan bareng dikon seko kantor yen ra vaksin rasoh absen akhir e yo mangkat jilakk
Ketika_setyo,vaksin dlu bor
binarbonai,aku lali kertas vaksin ku tak dokok ngd
AlfonsTefa,iya jg aku khan ngegym trus org rmh chat kasih broad cast abis vaksin sejml ibu parti akhir nya kena virus yg meninggal yg koma trus aku nanya temen ku yg dokter tp tugas disby bilanh jg gak cape kudu dirmh
miss_wici,efek nya stl vaksin tuh ngantuk trus pengen makan mulu trus lemes gitu badannya kalo pas kerja longgar maksudnya gak byk kerjaan tp pas fitness biasa aja biasa fitness aku pake suplemen tambahan aku pake fast full bwt ngimbangin partner ku
AnastasiaRoni,aku malah abis vaksin trus sorenya fitness pake beban berat soale aku bareng partner kuu malahan gpp tuhh
Sisoneto_,proses penerbitan sertifikat vaksin pedulilindungi app jg cepet banget beberapa jam vaksin terbit unduh rencana mau dicetak laminating sendiri takut privasi data bocor klo pake jasa cetak kartu meski dah bocor paling darkweb
nhgdsr,pas vaksin pertama menit abis vaksin langsung pegel lengan yg kedua nyaris ga efek samping apapun beberapa jam vaksin yaa biasa aja ngantuk sih wajar lha semalem begadang laper wajar lha blm sarapan
oxytyra_mine,liat pake mata sendiri pas cairannya masuk sensasi ngilu yg gimana gitu abis proses vaksin nunggu bentar surat keterangan dikasih kemudian beres deh
oxytyra_mine,sempet beredar video beberapa waktu lalu yg cairan vaksinnya ga disuntikkan cm nancepin jarum aja karna insekyur jadinya vaksin dosis kedua ku liatin proses nyuntiknya maap bukannya aku tak percaya sus biar lega dikit hehe beneran divaksin kok
firnadi_,prosesnya kurang lebih sama kayak vaksin pertama amp lebih cepet bagian screening tensi malah lebih tinggi sampe ditanya dokter muda kan maap klo vaksin terjadwal ga dadakan gini gampang kepikiran aqutu dok
wahyuningtri40,vaksin dosis kedua selesai h sempet bingung lokasi vaksin sms nya dulu kalau lokasi kedua klinik polres untung iseng nanya admin pak pulici ig polres surakarta bener lokasinya tetep lokasi vaksin pertamabalaik
ericwh93,si adek brisik pol blm dpt sms sertkfikat vaksin
nkhawari,inpo vaksin non domisili bre
ikaauwais2,vaksin campak wes ben kalo dicampakkan iku ora ngrantes
_wassup_ya,matur nang ibukmu rapopo telat vaksin sing penting imun ra gampang cidro
ikaauwais2,habis vaksin nafsu makan nambah kenceng makan terus tp gabisa gendutt anjir wkw
Rliriis_,yo ngisi form vaksin monggo
kibul_,pas dateng mau vaksin antri isi form bawa fotocopy ktp verifikasi tatap muka memang mantap indonesia tercinta
kibul_,yok berminat vaksin malam pkl dibuka pendaftarannya hari vaksin kuota orang orang per hari sing penting berusaha
imran_senn,yeaa siap menerima vaksin
fauzancukk,logika yg vaksin x aman perlu tes sana sini jd pertanyaan kalo vaksin x tp tetap tes hasilnya positif terus kapan pandemi selesai
adit_chan,apa vaksin sinovac sinovac merupakan nama perusahaan biofarmasi asal beijing memproduksi vaksin bernama coronavac jenis inactivated vaccine coronavac bekerja menggunakan partikel virus dimatikan
adit_chan,iyo ki alhamdulillah mugo ndang tambah akeh vaksin centre e
adit_chan,nyari vaksin susah setengah mampus
chaliysta,ayo vaksin
chaliysta,cara berpikir aneh begini mengakibatkan disinformasi soal covid isu ambulan kosong muter muter akhirnya ambulan lewat dilempar isu vaksin memasukkan chip akhirnya banyak yg anti vaksin byk yg meninggal rs yg disalahkan rs logika ajaib nitizen indon
chaliysta,bar vaksin tiga kok efek e lemes ngene
chaliysta,aku tp vaksin coz stok vaksin az sampe oslo
chaliysta,lha mau vaksin lewat endi must coba lapor pihak sing gawe vaksinasi sing mbok parani
chaliysta,edukasi mmg semua ttg vaksin kurang edukasi masyarakat desaku vaksin pertama oke tp stlh mau vaksin kedua g mau krn sdh kena hoax yg beredar dimasyarakat smga dipermudahkan
herungrh_,jadi vaksin tetap prokes mana tinggal bawa kartu vaksin bukan hasil swab antigen pcr
yotifolk,mobil vaksin tiap puskesmas seluruh indonesia jemput bola hari pindah rt vaksin tuh seada adanya orang yg divaksin biar cepet target marketing minimarket aja kalo kejar target jemput bola kok
irfan_nuruddin,baru sebulan disolo males vaksin swab kl mo balik
irfan_nuruddin,vaksin o saiki mumpung isine chip nek taun ngarep krungu isine kacang ijo karo coklat
Riezkyyp__,vaksin sek berbentuk kapsul ono ra to asuog pengen vaksin wedi jarum
karanganyarku,vaksin kok aku merasa transfer data jadi cepet banget via infrared
karanganyarku,efek vaksin laperr ngantuk bukan efek mah emang kebiasaan aja kalo ga laper ngantuk
karanganyarku,klo habis vaksin apa donor plasma bro
oxytyra_mine,berakhir wedyan seneng banget akhirnya vaksin hwaa wkwk
ericwh93,info vaksin
adiyeeeee,nurunin tensi waktu menit gimana guyss kasi solusi dongg pusing gabisa vaksin grgr tensi tensi
wahoyeah,yukk vaksin yukk doain guyss wkwk
gopalopotamus,semoga pemerintah kian massif memberikan vaksin covid ditempat nyaman disiplin protokol kesehatan ikuti sosial media ig sukoharjo fb pku sukoharjo twitter youtube pku muhammadiyah sukoharjo website
iwan_poenya,yg ga percaya vaksin plis diem aja jangan koar tulisan mu membahayakan buat nakes kalo ga biasa nanganin covid plis jgn lgsg panik dger cerita pasien panikmu membuat org ga percaya sm rs
nkhawari,awal mau siap vaksin pak daftar ol selalu trjawab kuota full pdhl batu jeda gak menit link reservasi dibuka gimana donk pak solusinya
kkhth97,benar mas pdhl sekarang apa hrs nunjukin kartu vaksin yaa
iyoes_23,vaksin sukoharjo apa kabar
iyoes_23,istri tenaga medis kok cara omgnya spt tdk paham tujuan vaksin bersyukur lu ud dpt vaksin yg dpt vaksin byk kesusahan mendapatkannya bersyukur jg udah vaksin lu udah terpapar n skg msh hdup bs ngetweet lol
bambang3handana,vaksin banyak yg mati
mashadieee,bilangin aja mas kalo sertifikat vaksin ngambil bansos
mashadieee,disini major issue vaccine availability banyak yg menganggap vaksin bagian politik
ipehadid,vaksinasi karanganyar lewat pintu min dinkes lik yg sediakan dinkes baru menit kuota langsung full antusias warga vaksin besar mohon tingkatkan
kulinerduludek,info vaksin dong mi
andikawidayat,emange kalo vaksin dipasangi cctv gitu
nyalaego,iya jurus jitu dicoba pegawai yg gak ikut vaksin gak thr nantinya
mariaissaa_,aku punya karyawan janda anak satu dah gede aku suruh ikut vaksin gak mau alasannya takut takut tiga tahun jadi zombie gus alloh sopo sih nyebarin hoaks kalo vaksin jadi zombie mbok ngaku
HeyOm_Oky,hari vaksin
mariaissaa_,lagian aneh vaksin kok bayar
kulinerduludek,vaksin karanganyar rebutan kuota daftar onlen ngalah i flash sale xiaomi
mariaissaa_,isinya covid virus virus virus terus vaksin vaksin mending download smadav aja deh kan anti virus lebih manjur vaksin
mariaissaa_,nah yen wes iso daftar kabeh kan tinggal nunggu kapan giliran vaksin nek dibatasi ngene iki kapan rampung e ayo lah kerja cerdas kerja efektif mohon bantuan lah pak gub
rspkusukoharjo,ibaratnya berperang melawan covid dipersenjatai vaksin musuh sedang mengepung sos vaksin sos vaksin
nikmahazii,hallo fenomena pendaftaran vaksin kok yo berlanjut yaa mbok wes ra usah nganggo kuota pendaftar nek misal maksimal dosis google form e rasah dibatasi open wae sak okeh pendaftar vaksin tinggal diurut sesuai nomor google drive
IgnatioDee,dalan e ojo ditutup ning nggonku arep do vaksin bingung meh lewat ngendi lha dalane ditutupi kabeh trus males budhal
buruh_jamu,jadwal vaksin dosis mu kapan
JokoSukamto11,buat vaksin kak read astrea zanev
putrarulez,gini lho mas bukan buzzer pakai logika pakai nalar kalau mau berkiblat negara udah lepas masker sah sah melalui proses pakai prokes pakai vaksin pakai otak
irfan_nuruddin,halo sahabat mido pernah geram melihat perilaku wna taat protokol kesehatan anti vaksin langsung maupun menyaksikan via sosmed
